"Ti","V","Cr","Nb","Hf"
11.566,15.374,43.950,29.111,0.000
4.930,8.661,11.719,12.516,62.174
5.387,8.886,16.938,13.025,55.764
4.122,8.927,15.615,11.205,60.132
5.320,7.037,13.266,7.568,66.809
3.474,8.982,14.355,14.269,58.921
5.033,7.904,13.927,16.124,57.012
5.715,8.810,13.542,13.997,57.935
4.214,6.689,15.978,13.173,59.945
3.899,10.791,16.796,16.600,51.914
7.277,9.896,15.419,13.243,54.164
4.098,8.635,17.830,11.630,57.807
6.363,7.806,14.735,8.397,62.699
7.257,12.634,17.649,6.664,55.797
7.800,8.288,10.944,6.375,66.594
7.080,7.402,16.173,15.069,54.276
6.209,9.161,9.997,18.108,56.525
9.530,7.663,9.383,20.132,53.292
9.220,7.950,9.823,22.341,50.665
12.000,6.067,7.510,22.751,51.672
14.247,8.053,5.680,21.014,51.007
11.940,7.145,6.479,21.858,52.579
14.339,6.790,7.460,24.895,46.516
16.386,6.995,4.166,28.407,44.047
14.350,5.269,6.000,25.759,48.622
16.079,6.173,6.845,23.744,47.159
14.892,6.620,4.692,27.217,46.580
17.497,6.297,6.620,28.319,41.266
14.367,7.789,6.155,23.486,48.204
14.585,9.588,3.932,31.949,39.946
13.459,5.941,3.559,27.897,49.144
14.655,8.377,5.538,22.115,49.315
14.376,7.394,5.722,25.443,47.066
12.492,8.426,4.088,37.274,37.720
13.042,5.887,4.217,24.428,52.426
13.651,6.391,3.140,28.147,48.672
13.942,7.904,5.076,22.379,50.699
16.584,6.206,3.830,28.254,45.125
12.750,8.877,7.022,28.009,43.342
16.766,7.351,5.904,28.311,41.669
19.313,13.550,6.048,24.064,37.025
19.087,7.315,5.462,29.465,38.670
12.355,8.327,5.646,24.722,48.949
14.495,10.985,8.968,19.366,46.186
12.437,5.826,7.746,26.830,47.162
12.637,6.603,9.286,22.715,48.759
9.903,6.573,8.589,26.347,48.588
9.319,7.969,10.056,15.676,56.980
8.105,10.748,12.577,15.194,53.377
10.007,7.365,12.619,11.761,58.248
7.546,9.689,10.266,10.245,62.254
6.070,8.394,17.093,9.728,58.715
5.326,7.143,11.181,13.429,62.920
6.128,8.011,11.195,14.112,60.554
6.237,11.644,12.830,11.668,57.621
6.155,8.331,16.296,12.072,57.146
3.546,10.389,12.578,10.619,62.867
6.126,10.314,12.279,13.245,58.037
5.995,9.323,12.922,15.799,55.962
4.823,8.475,14.922,15.252,56.527
5.795,8.977,12.645,13.657,58.926
6.445,8.063,15.604,13.738,56.150
6.009,7.995,14.675,12.920,58.401
4.980,7.038,13.868,13.930,60.183
4.759,7.328,13.525,7.617,66.771
4.232,6.223,13.272,17.557,58.716
5.716,7.380,10.652,16.616,59.636
5.802,6.758,18.014,15.159,54.266
7.062,6.429,18.590,7.029,60.890
5.561,9.559,14.694,12.873,57.314
5.110,7.421,13.580,12.897,60.992
6.022,7.412,15.643,8.868,62.054
5.348,9.772,14.242,13.746,56.892
5.317,8.270,13.502,14.052,58.859
3.758,8.964,12.669,8.064,66.546
5.391,10.742,16.401,13.345,54.121
4.191,6.967,13.689,17.580,57.572
4.482,6.166,12.688,13.558,63.107
5.817,10.756,13.854,18.410,51.164
4.745,7.994,14.104,16.811,56.346
4.288,7.569,8.255,13.452,66.436
3.762,8.523,13.947,12.856,60.912
6.417,9.714,12.828,18.036,53.004
5.089,9.075,17.072,13.386,55.379
4.963,6.300,11.681,9.947,67.109
5.485,7.352,20.708,10.868,55.586
4.371,10.836,18.430,12.190,54.174
4.710,7.722,14.906,13.815,58.848
6.946,7.262,12.144,12.289,61.359
6.514,7.779,12.630,8.100,64.976
7.570,8.615,15.060,18.236,50.518
6.941,6.625,12.120,11.559,62.755
4.661,8.458,11.372,12.877,62.631
7.760,7.548,11.577,24.215,48.899
10.746,11.405,12.092,11.971,53.786
12.597,7.956,9.949,19.620,49.879
