"Ti","V","Cr","Nb","Hf"
30,52,69,46,33
32,51,93,52,25
24,58,91,58,39
32,48,86,35,48
21,47,92,46,34
32,49,79,44,30
41,64,80,49,37
34,52,82,58,43
28,60,106,44,30
32,58,69,51,26
32,50,111,43,31
37,52,75,53,24
44,69,86,46,30
46,50,73,39,34
44,51,84,49,24
44,58,72,63,32
62,53,58,77,27
67,48,58,81,29
80,50,43,91,28
80,44,34,61,34
93,60,46,69,30
82,45,34,89,26
103,54,32,106,24
85,45,31,80,26
97,43,34,99,30
105,59,33,103,29
78,49,20,88,19
101,57,39,99,27
83,58,26,109,25
93,56,22,91,24
92,53,25,95,22
87,52,34,89,27
88,63,24,117,24
96,55,27,109,33
96,54,28,119,32
98,52,34,88,33
99,55,23,95,27
71,52,33,104,23
95,56,30,84,20
102,62,36,98,16
105,64,31,90,18
89,54,35,98,20
77,57,39,73,31
72,39,40,72,24
71,58,48,74,23
61,52,49,82,32
66,52,68,63,36
49,55,62,64,28
55,47,60,53,36
47,52,61,46,30
38,55,77,53,25
37,42,69,52,40
40,53,72,43,37
37,63,77,44,29
39,47,78,48,28
29,57,82,43,32
39,54,81,41,38
42,64,88,44,37
27,57,75,46,33
38,56,75,51,38
42,55,81,41,25
34,45,90,26,41
34,42,85,52,32
32,49,89,47,48
30,49,92,49,38
43,46,80,49,32
34,40,98,61,43
38,46,89,42,28
35,57,85,41,26
34,53,78,49,42
34,59,93,34,36
32,47,81,40,34
31,58,76,43,32
35,62,77,44,45
26,54,77,56,24
27,42,81,64,35
24,46,80,46,34
32,50,83,47,32
35,58,87,58,27
26,44,68,57,49
27,65,89,48,38
33,55,86,49,34
34,56,89,44,29
38,52,87,46,46
37,44,98,44,35
26,62,85,47,22
32,42,86,54,34
50,51,81,49,41
53,58,75,47,40
45,45,75,47,30
48,50,70,55,41
37,51,84,52,38
52,67,69,65,30
62,56,54,58,27
75,48,57,76,31
70,66,48,74,26
86,49,53,79,25
87,51,45,86,27
92,72,40,92,21
99,65,32,84,29
96,66,32,81,28
92,48,33,97,25
105,65,32,85,26
83,50,34,98,25
86,43,28,99,21
88,46,19,98,27
82,46,27,90,32
105,49,19,86,27
90,51,45,97,26
79,54,24,102,26
82,48,33,97,31
87,42,33,85,14
98,52,34,88,20
88,55,20,87,28
105,69,30,85,20
98,59,38,88,26
99,53,32,93,22
106,62,26,81,24
82,59,36,97,21
95,51,28,79,23
98,57,41,90,23
80,67,29,83,31
79,69,52,104,25
67,65,44,93,24
76,59,42,81,25
81,60,38,81,30
80,44,48,77,21
85,56,50,71,30
66,49,60,60,36
64,58,77,62,22
44,54,65,73,24
41,48,76,54,27
46,54,71,42,46
49,58,70,44,41
41,63,68,51,29
36,52,87,45,34
44,44,99,62,33
39,51,78,41,35
35,55,66,53,41
49,64,73,59,26
42,55,66,43,33
54,53,81,51,29
33,50,80,63,28
46,68,102,60,22
38,61,78,70,25
30,53,71,57,22
32,70,83,54,43
35,65,89,49,37
30,58,74,57,33
40,67,82,58,43
35,47,75,48,37
37,49,87,44,34
37,39,97,51,34
28,65,83,49,30
20,53,93,51,39
23,55,84,44,44
33,36,84,35,45
34,54,96,47,30
30,76,84,56,36
27,49,90,57,26
29,59,94,52,42
39,57,84,49,27
37,36,114,49,27
30,62,97,44,30
36,53,69,45,42
23,48,93,43,33
26,52,92,41,36
37,58,67,37,34
40,54,85,48,33
36,58,74,57,34
32,49,82,54,32
31,57,73,33,32
33,70,76,53,30
29,48,80,40,37
31,49,103,49,31
42,66,79,34,32
31,53,83,46,32
31,50,79,40,30
35,51,82,54,37
32,57,73,70,22
48,56,82,42,30
38,58,79,44,28
34,60,85,48,34
27,32,77,40,42
37,62,85,52,27
29,43,83,63,26
34,47,83,38,42
41,51,81,42,40
44,59,74,46,27
38,50,91,46,36
49,56,71,44,24
51,61,63,57,28
32,52,71,44,35
64,49,83,73,31
61,55,46,73,23
75,50,46,66,21
60,57,59,75,30
64,56,41,74,27
70,46,58,83,23
71,47,51,79,20
68,61,46,56,26
57,64,46,92,20
57,61,38,88,31
52,58,65,86,27
53,55,51,71,27
61,53,69,54,37
39,46,67,57,31
43,48,73,52,30
27,47,72,61,31
43,69,78,63,29
38,57,75,54,29
32,53,74,43,24
37,66,81,39,42
34,49,89,50,34
47,55,77,51,27
33,55,83,47,29
26,54,80,46,30
30,66,69,49,31
29,50,74,50,29
33,48,91,50,29
32,54,89,40,29
33,53,96,52,36
36,57,86,50,29
29,65,62,44,47
33,67,96,52,26
28,54,93,48,23
30,57,81,64,26
34,58,67,40,25
30,56,75,61,25
24,66,76,59,36
36,46,82,42,35
35,38,91,57,28
33,50,96,51,29
43,60,98,59,37
34,56,90,47,45
35,50,92,41,41
31,56,80,41,29
40,56,84,46,28
29,44,75,52,26
39,46,82,46,37
33,57,85,45,28
33,50,82,56,27
36,57,82,47,30
31,60,77,38,30
30,64,70,51,23
37,55,97,44,36
40,56,86,43,32
31,57,86,58,38
34,53,80,50,30
36,48,71,37,28
28,60,87,50,24
34,51,96,54,28
32,53,80,48,35
25,65,102,37,25
35,50,72,55,32
35,56,88,62,25
